La Cité de la peur|1994|Alain Berbérian
La Cité des Enfants Perdus|1995|Jean-Pierre Jeunet and Marc Caro
Clash of the Titans|1981|Desmond Davis
Class of 1984|1982|Mark L. Lester
Class of Nuke 'Em High|1986|Richard W. Haines, Michael Herz, and Lloyd Kaufman (as Samuel Weil)
La Classe américaine|1993|Michel Hazanavicius and Dominique Mézerette
Clerks|1994|Kevin Smith
Clerks II|2006|Kevin Smith
Cloud Atlas|2012|The Wachowskis and Tom Tykwer
Cloverfield|2008|Matt Reeves
Clue|1985|Jonathan Lynn
Clueless|1995|Amy Heckerling
Co Mi Zrobisz, Jak Mnie Złapiesz?|1978|Stanisław Bareja
Cobra|1986|George P. Cosmatos
Cocaine Cowboys|1979|Ulli Lommel
Cocaine Cowboys|2006|Billy Corben
Cocksucker Blues|1972|Robert Frank
Code of Silence|1985|Andrew Davis
Code Unknown|2000|Michael Haneke
Coffy|1973|Jack Hill
The Color of Pomegranates|1969|Sergei Parajanov
Colossus: The Forbin Project|1970|Joseph Sargent
Combat Shock|1984|Buddy Giovinazzo
Comic Book Confidential|1988|Ron Mann
Coming Out|1989|Heiner Carow
Commando|1985|Mark L. Lester
Comment Je Me Suis Disputé...|1996|Arnaud Desplechin
The Company of Wolves|1984|Neil Jordan
Con Air|1997|Simon West
Conan the Barbarian|1982|John Milius
Condorman|1981|Charles Jarrott
Control|2007|Anton Corbijn
The Cook, the Thief, His Wife & Her Lover|1989|Peter Greenaway
Cool World|1992|Ralph Bakshi
Coonskin|1975|Ralph Bakshi
Copkiller|1983|Roberto Faenza
Corridors of Blood|1958|Robert Day
Coup de Torchon|1981|Bertrand Tavernier
Cracking Up|1983|Jerry Lewis
The Craft|1996|Andrew Fleming
Crash|1996|David Cronenberg
Creature from the Black Lagoon|1954|Jack Arnold
Creature from the Haunted Sea|1961|Roger Corman
The Creeping Terror|1964|Vic Savage
Creepshow|1982|George A. Romero
Crimi Clowns: De Movie|2013|Luk Wyns
Criminals Gone Wild|2008|Ousala Aleem
Cronos|1993|Guillermo del Toro
The Crow|1994|Alex Proyas
Cruising|1980|William Friedkin
Crumb|1994|Terry Zwigoff
Cry-Baby|1990|John Waters
Cube|1997|Vincenzo Natali
A Cure for Wellness|2016|Gore Verbinski
The Curse of Frankenstein|1957|Terence Fisher
Cutter's Way|1981|Ivan Passer
Da Uomo a Uomo|1967|Giulio Petroni
Daft Punk's Electroma|2006|Daft Punk
Daheim Sterben die Leut'|1985|Klaus Gietinger and Leo Hiemer
Dance, Girl, Dance|1940|Dorothy Arzner
Dancer in the Dark|2000|Lars von Trier
Danger: Diabolik|1968|Mario Bava
The Darjeeling Limited|2007|Wes Anderson
The Dark Backward|1991|Adam Rifkin
Dark City|1998|Alex Proyas
The Dark Crystal|1982|Jim Henson and Frank Oz
Dark Night of the Scarecrow|1981|Frank De Felitta
Dark Star|1974|John Carpenter
Darkman|1990|Sam Raimi
Darktown Strutters|1975|William Witney
Daughters of the Dust|1991|Julie Dash
Dawn of the Dead|1978|George A. Romero
Day of the Dead|1985|George A. Romero
The Day The Clown Cried|1972|Jerry Lewis
The Day the Earth Stood Still|1951|Robert Wise
Dazed and Confused|1993|Richard Linklater
Dead & Buried|1981|Gary Sherman
The Dead Father|1985|Guy Maddin
Dead Kids|1981|Michael Laughlin
Dead Man|1995|Jim Jarmusch
Dead of Night|1945|Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer
The Dead Pit|1989|Brett Leonard
Dead Ringers|1988|David Cronenberg
Deadlock|1970|Roland Klick
Deadly Friend|1986|Wes Craven
Deadly Prey|1987|David A. Prior
Deafula|1975|Peter Wechsberg
Deathdream|1974|Bob Clark
Death Race 2000|1975|Paul Bartel
Death to Smoochy|2002|Danny DeVito
Death Wish|1974|Michael Winner
Death Wish 3|1985|Michael Winner
Le Déclin de l'Empire Américain|1986|Denys Arcand
The Decline of Western Civilization Part II: The Metal Years|1988|Penelope Spheeris
Deep End|1970|Jerzy Skolimowski
Deep Throat|1972|Gerard Damiano
Defending Your Life|1991|Albert Brooks
Dekalog|1988|Krzysztof Kieślowski
Delicatessen|1991|Jean-Pierre Jeunet and Marc Caro
The Descent|2005|Neil Marshall
Demonlover|2002|Olivier Assayas
Demon Knight|1995|Ernest R. Dickerson
Dèmoni|1985|Lamberto Bava
Deranged|1974|Alan Ormsby and Jeff Gillen
Desert Hearts|1985|Donna Deitch
Desperate Teenage Lovedolls|1984|David Markey
Desperately Seeking Susan|1985|Susan Seidelman
Detour|1945|Edgar G. Ulmer
Deux Heures Moins le Quart avant Jésus-Christ|1982|Jean Yanne
The Devil-Doll|1936|Tod Browning
Devil Girl from Mars|1954|David MacDonald
The Devil's Advocate|1997|Taylor Hackford
The Devil's Rain|1975|Robert Fuest
The Devil's Rejects|2005|Rob Zombie
The Devils|1971|Ken Russell
Les Diaboliques|1955|Henri-Georges Clouzot
La Dialectique Peut-Elle Casser Des Briques?|1973|René Viénet
Diggstown|1992|Michael Ritchie
Dikkenek|2006|Olivier Van Hoofstadt
Dillinger è Morto|1969|Marco Ferreri
Dirty Work|1998|Bob Saget
Dis – En Historie om Kjærlighet|1995|Aune Sand
Disco Dancer|1982|Babbar Subhas
Les Disparus de Saint-Agil|1938|Christian-Jaque
Diva|1981|Jean-Jacques Beineix
Django|1966|Sergio Corbucci
The Driver|1978|Walter Hill
Dr. Cyclops|1940|Ernest B. Schoedsack
Dr. Goldfoot and the Bikini Machine|1965|Norman Taurog
Dr. Phibes Rises Again|1972|Robert Fuest
Dogma|1999|Kevin Smith
Dogville|2003|Lars von Trier
Dolemite|1975|D'Urville Martin
Don|1978|Chandra Barot
Don't Be Afraid of the Dark|1973|John Newland
Bob Dylan: Dont Look Back|1965|D.A. Pennebaker
Don't Look Now|1973|Nicolas Roeg
Don't Tell Mom the Babysitter's Dead|1991|Stephen Herek
Donnie Darko|2001|Richard Kelly
The Doom Generation|1995|Gregg Araki
Double Down|2005|Neil Breen
Double Team|1997|Tsui Hark
Dougal and the Blue Cat|1970|Serge Danot
The Dover Boys|1942|Chuck Jones
Down and Dirty Duck|1975|Charles Swenson
Down By Law|1986|Jim Jarmusch
Horror of Dracula|1958|Terence Fisher
Drácula|1931|George Melford
Dragonslayer|1981|Matthew Robbins
Dredd|2012|Pete Travis
Dressed to Kill|1980|Brian De Palma
Dreszcze|1981|Wojciech Marczewski
The Driller Killer|1979|Abel Ferrara
Drive|2011|Nicolas Winding Refn
Drop Dead Fred|1991|Ate de Jong
Drugstore Cowboy|1989|Gus Van Sant
Rififi|1955|Jules Dassin
Duck Soup|1933|Leo McCarey
Dunderklumpen!|1974|Per Åhlin
Dune|1984|David Lynch
Dünyayı Kurtaran Adam|1982|Çetin İnanç
Dzhentlmeny Udachi|1971|Aleksandr Seryj
Dziewczyny do Wzięcia|1972|Janusz Kondratiuk
Earth Girls Are Easy|1988|Julien Temple
Easy Rider|1969|Dennis Hopper
Eat the Rich|1987|Peter Richardson
Eating Raoul|1982|Paul Bartel
Edward Scissorhands|1990|Tim Burton
Eegah|1962|Arch Hall Sr.
Egymásra Nézve|1982|Károly Makk and János Xantus
El Topo|1970|Alejandro Jodorowsky
Emmanuelle|1974|Just Jaeckin
L'Emmerdeur|1973|Edouard Molinaro
Empire|1964|Andy Warhol
Empire Records|1995|Allan Moyle
The Endless Summer|1966|Bruce Brown
Les Enfants du Paradis|1945|Marcel Carné
Enter the Dragon|1973|Robert Clouse
Enter the Void|2009|Gaspar Noé
Equilibrium|2002|Dennis Muren and Jack Woods
Equinox|1970|Robert Day
Eraserhead|1977|David Lynch
Escape from New York|1981|John Carpenter
Eskimo Limon|1978|Boaz Davidson
Esperando la Carroza|1985|Alejandro Doria
Esta Noite Encarnarei no Teu Cadáver|1967|José Mojica Marins
Et Dieu Créa La Femme|1956|Roger Vadim
Eternal Sunshine of the Spotless Mind|2004|Michel Gondry
Ethel & Ernest|2016|Roger Mainwood
...E tu vivrai nel terrore! L'aldilà|1981|Lucio Fulci
Europa|1991|Lars von Trier
Event Horizon|1997|Paul W. S. Anderson
Everything You Always Wanted to Know About Sex*|1972|Woody Allen
The Evil Dead|1981|Sam Raimi
Evil Dead II|1987|Sam Raimi
Ex Drummer|2007|Koen Mortier
Exit... nur Keine Panik|1980|Franz Novotny
Exit Through the Gift Shop|2010|Banksy
Exotica|1994|Atom Egoyan
Explorers|1985|Joe Dante
F for Fake|1973|Orson Welles
Tears of the Black Tiger|2000|Wisit Sasanatieng
Le Fabuleux Destin d'Amélie Poulain|2001|Jean-Pierre Jeunet
Faces of Death|1978|Conan LeCilaire
The Faculty|1998|Robert Rodriguez
Fair Game|1986|Mario Andreacchio
The Fall|2006|Tarsem Singh
Der Fan|1982|Eckhardt Schmidt
Fantastic Mr. Fox|2009|Wes Anderson
Fantastic Planet|1973|Rene Laloux
Fargo|1996|The Coen Brothers
Fast, Cheap & Out of Control|1997|Errol Morris
Faster, Pussycat! Kill! Kill!|1965|Russ Meyer
Fateful Findings|2013|Neil Breen
Le Fatiche di Ercole|1958|Pietro Francisci
Fear and Loathing in Las Vegas|1998|Terry Gilliam
The Fearless Vampire Killers|1967|Roman Polanski
Felicity|1978|John D. Lamond
Felidae|1994|Michael Schaack
Fellini Satyricon|1969|Federico Fellini
Female Trouble|1974|John Waters
La Femme du Boulanger|1938|Marcel Pagnol
Femme Fatale|2002|Brian De Palma
Festen|1998|Thomas Vinterberg
Die Feuerzangenbowle|1944|Helmut Weiss
Fido|2006|Andrew Currie
Fiend Without a Face|1958|Arthur Crabtree
The Fifth Element|1997|Luc Besson
Fight Club|1999|David Fincher
